NPP,Mixed.forest,Atmospherically corrected Angular dependent water leaving reflectances_B5,Normalized water leaving reflectances_B5,Atmospherically corrected Angular dependent water leaving reflectances_B4,Depth of the water column from which 90% of the water leaving irradiance comes from,Normalized water leaving reflectances_B4,Atmospherically corrected Angular dependent water leaving reflectances_B3,Normalized water leaving reflectances_B3,Broad.leaved.forest,Diversity
348.94499020800004,0.133660404,0.009261846542358398,0.007065720464053907,0.008723791492612739,1.4932932602731803,0.0057478519646744965,0.003976994831311076,0.003177382640148464,0.003310598,7.151805709
363.569435989333,0.391025182,0.0013808302148791527,0.001437828367593721,0.002219645557595397,13.548490359474506,0.002216847423517303,0.014192025411083296,0.0142283903845132,0.029492774,7.273622003
379.933097984,0.18954364199999998,0.0024252521495024357,0.0019339509308338163,0.002372649394803577,6.445241292317707,0.0017698796259032355,0.0026312387651867336,0.002431392048796018,0.0029685420000000002,7.352389812999999
356.538974208,0.275651621,0.0020271206544304537,0.0018652346399095324,0.002307619711365363,5.284796204229798,0.002026160959442858,0.004650864135536682,0.004260852280690614,0.02619199,7.301614539
356.538974208,0.21746319600000005,0.00043763057334457483,0.0004488691479762493,0.0007409179651098436,23.46306887692684,0.0007360347885942005,0.00676166244144687,0.006761202755025701,0.0022402389999999998,7.501436083
317.999742976,0.18192219699999998,0.011893091723322868,0.009605197235941887,0.009984077885746956,0.05771563202142716,0.0079965116456151,0.005865806713700295,0.0049632685258984574,0.305491991,7.309569467999999
436.43168358400004,0.33614498600000003,0.013212072315272437,0.013704861557582541,0.018009660056320227,3.7047053640551417,0.01745847993932771,0.05295365744641719,0.05128388957621356,0.32638888899999996,5.981438452000001
387.70062131199995,0.065449214,0.0014711457936800248,0.0015248766101367555,0.002376945685176728,15.396284248099112,0.0023741247723024625,0.015550236454738787,0.01562287893422618,0.29774282399999996,6.405204726
370.67833344,0.014938685,0.0011982375482538286,0.0012483175280831175,0.002050180240642125,12.06180650048396,0.0020298664739073187,0.017159315528463618,0.017420634378372418,0.074693423,7.292739002
376.85657599999996,0.00294508,0.0008888650620526685,0.0009408712353252326,0.0014823727088734428,16.587297786292037,0.0014409326028532892,0.0098059177737008,0.009804100013885562,0.18711631,7.280580802999999
229.808177152,0.031366207,0.0011314203568346182,0.0011957562910575154,0.0019260770102776702,11.848156681196235,0.0018795921458265301,0.014982923969413931,0.015081959421547544,0.081866621,7.717875492999999
245.906096128,0.023688663,0.0009790525470409108,0.0010343420463014002,0.0016803479109621753,15.90361213703515,0.0016547010191471918,0.013188979022064442,0.013295708149595643,0.095882685,7.596245719
242.24515686400002,0.010701956,0.0012034324230909567,0.0012751530569180196,0.002046142199497246,16.524390786857026,0.0020261310886386342,0.01489990611191138,0.015049842702451138,0.11518987300000001,7.792482218
244.98225152,0.014548924,0.0014228782288333325,0.0015003692039048818,0.0021147441382608073,13.780601627691354,0.0020583190006245493,0.011424958812744669,0.011424772695445295,0.06432494799999999,7.855771981
244.208386048,0.010351967,0.00041264308620594784,0.00043085755482805116,0.0006925228257669662,27.423610161378555,0.0006713620682513949,0.006476042307179658,0.006466955272582741,0.022774327,8.111273268
233.429158570667,0.021257327000000003,0.0017709945608550344,0.001874996494503252,0.002649094521274126,10.21643697193035,0.002598381837169489,0.009885612277437835,0.009907168042993584,0.071982568,8.11687474
259.121381376,0.002647964,0.0006594260193786091,0.0006897186913581846,0.00105500806611919,20.77272309879996,0.0010399109308507847,0.006688283132646188,0.00666660503058639,0.080798683,7.859981607999999
188.538601472,0.0,0.00011548203817470284,0.00011999859679036022,0.00019654109165435883,44.63537696900406,0.00019461011922940967,0.0015867562071094669,0.0016489347548988775,0.0,8.050385091
429.93326489599997,0.020429587,0.0006233957412641367,0.0006447816763271468,0.0010579719819497216,13.212485775560223,0.0010435811611784606,0.006853321353260542,0.006839147134989249,0.20766042199999998,7.446654037999999
455.74632243199994,0.0,0.000908699411811661,0.0009418432710005606,0.0014371571241145152,13.249449031721516,0.0014428597271576961,0.006293905139663405,0.006250094268389123,0.750346741,7.234101555
240.45019136,0.08121365,0.0012376660080989981,0.0013095681578381715,0.001983672191442125,12.279850373681743,0.0019687083244521513,0.01009144087260896,0.009978105160358948,0.070422535,7.879094584
322.344189952,0.0,0.0005727837178145859,0.0005926308444212334,0.0009408256196083383,25.233468929365753,0.0009353591113191133,0.007374569760248144,0.007352841676301252,0.010381679,7.236034611
364.850937856,0.262408637,0.004588331217351167,0.0034808616923249287,0.004302640971930131,3.4911989958389937,0.0029343295356501703,0.003013341971065687,0.002607831164546635,0.031146992999999998,7.43049755
218.610286592,0.014301699999999999,0.0005683606609913034,0.0005918664300967811,0.0007682713640421059,59.12572205453789,0.0007603185361469912,0.003586105264096733,0.00362428796976234,0.089276454,7.966960611
245.997289472,0.003952569,0.00025496929686780466,0.00026679922351908287,0.0004435892815224519,30.42898359497173,0.0004366222851029461,0.0041331751573448604,0.0041050084386077814,0.181818182,7.489069837000001
20.34691072,0.041524182,0.00014331032122884478,0.00014941379390563583,0.0002618694775982907,38.596045778508774,0.000258213109838634,0.0023746016927829053,0.002378801952926139,0.028892456,7.2406463310000015
61.8964772571429,0.019113166,0.00026343229130733586,0.00027300979048495457,0.0004323598991982373,25.92995244892344,0.0004279885256299456,0.0023450587059367905,0.0023421154821264274,0.028780077999999997,7.92109589
44.14435419022222,0.041135657,0.0001653363711594844,0.00017283727092607513,0.00029258501075551626,41.924645035496454,0.00028963349316313486,0.003031787580519292,0.003020525050156117,0.070204263,7.911481071
